Lat,Long,OneYr_Over25
40.635579347,-73.975788038,1
40.8379840587,-73.852266006,1
40.6900086839,-73.9449773912,1
40.6830540114,-73.959614395,1
40.6936389276,-73.9726043975,1
40.6517617711,-73.8869834077,1
40.662225848,-73.9341077792,1
40.6798943581,-73.7841898609,1
40.5791625868,-74.1005027861,1
40.7852303977,-73.9528683309,1
40.6804587054,-73.9430924378,1
40.6804587054,-73.9430924378,1
40.6804587054,-73.9430924378,1
40.7256560074,-73.9841218942,1
40.7358785517,-74.0020640013,1
40.7363232092,-74.0015913124,1
40.735277408,-74.0037563042,1
40.734503082,-74.0091903897,1
40.737969837,-74.0073541377,1
40.7377365568,-74.0069716115,1
40.748474201,-74.0026418438,1
40.7434278262,-73.9810682203,1
40.7537101041,-73.9702191712,1
40.7589555656,-73.9617774774,1
40.7665901049,-73.9662928887,1
40.7659698716,-73.9581598172,1
40.7776630592,-73.9598422582,1
40.7767478715,-73.9565607665,1
40.787120952,-73.9515019697,1
40.7964057338,-73.9336788101,1
40.8068529472,-73.9518379797,1
40.8345947021,-73.9116113266,1
40.8252826574,-73.8901574109,1
40.8447046065,-73.8876784597,1
40.8446688514,-73.8876026198,1
40.8446303551,-73.887530399,1
40.8445918517,-73.8874509496,1
40.8639775629,-73.8901585743,1
40.8067274406,-73.8568253964,1
40.847587349,-73.8300121364,1
40.8546393696,-73.8684813391,1
40.9068296883,-73.8504415983,1
40.8346840572,-73.8189327925,1
40.6853817113,-73.9816435777,1
40.6845122516,-73.9861688632,1
40.6832089108,-73.9903407478,1
40.6836236338,-73.994263544,1
40.6830306234,-73.9919344198,1
40.6822345322,-73.9905283745,1
40.6808593967,-73.9904744886,1
40.6798273125,-73.9898941729,1
40.6798633231,-73.9948515416,1
40.678367359,-73.9936042294,1
40.6760975933,-73.9981253171,1
40.6778700336,-74.0126832881,1
40.6413758879,-74.0076173413,1
40.6392679882,-74.0059992775,1
40.6432170759,-74.0136928551,1
40.6381562045,-74.0083303895,1
40.6782387158,-73.9757220765,1
40.677342096,-73.9594952762,1
40.6771459423,-73.9639117855,1
40.6763277804,-73.9632200352,1
40.6747747499,-73.9567966243,1
40.6749922582,-73.9671287001,1
40.6727730503,-73.9624577397,1
40.6728746046,-73.9624504726,1
40.6730118033,-73.9623278256,1
40.6726534286,-73.9394076042,1
40.6717373164,-73.9406413207,1
40.6656511324,-73.9440999394,1
40.6706784376,-73.9273439066,1
40.6700700951,-73.9335340707,1
40.6699594786,-73.9233793779,1
40.6865460272,-73.9231908499,1
40.6825559163,-73.9127466773,1
40.6811271103,-73.9220974344,1
40.681781133,-73.9154085267,1
40.6810163589,-73.9130912072,1
40.6778775474,-73.911083564,1
40.6778556073,-73.907622547,1
40.6980114054,-73.9375885978,1
40.6844213906,-73.9316015814,1
40.6849346516,-73.9271120351,1
40.6831532931,-73.9271103766,1
40.6825228867,-73.9285316358,1
40.6792291403,-73.9379631031,1
40.6786682465,-73.9362078441,1
40.6923178735,-73.9411242378,1
40.6860805396,-73.9441945899,1
40.6824196534,-73.9400116657,1
40.6974810596,-73.9704101787,1
40.6883723723,-73.9568419014,1
40.6870503158,-73.9593776007,1
40.6858303664,-73.9559240967,1
40.6852132277,-73.9570747078,1
40.6840362316,-73.9584672228,1
40.6817130731,-73.9555734825,1
40.6827536663,-73.9643991015,1
40.6818339638,-73.9637470024,1
40.6812169619,-73.9574053749,1
40.6934714778,-73.9725251322,1
40.6883672125,-73.9771246597,1
40.7050081867,-73.9562504487,1
40.7024011491,-73.9575577424,1
40.7018813338,-73.9547882397,1
40.7017149014,-73.9445205179,1
40.721928131,-73.959623307,1
40.7179528565,-73.9572339933,1
40.7164293207,-73.9567155137,1
40.7170394393,-73.9588470757,1
40.7113167697,-73.9521558966,1
40.735893354,-73.9522032008,1
40.7346731879,-73.9553144558,1
40.7344242617,-73.9575517784,1
40.7328451217,-73.9551605278,1
40.7306131853,-73.954018259,1
40.7294130153,-73.9522691856,1
40.7243702864,-73.9508188654,1
40.7273402404,-73.9450295503,1
40.724463974,-73.9455334037,1
40.7162867745,-73.9443604878,1
40.7146773636,-73.9481386187,1
40.703638405,-73.9331074773,1
40.6991222744,-73.9361990918,1
40.6972849813,-73.9343436023,1
40.6998706159,-73.9298005403,1
40.6967421116,-73.9306765534,1
40.6979293323,-73.9286088854,1
40.6977689688,-73.9267517959,1
40.6978237492,-73.9265714189,1
40.695434593,-73.9247024291,1
40.6983213324,-73.9195276447,1
40.7031321615,-73.9146781427,1
40.6993349414,-73.916778331,1
40.6900404579,-73.9196638458,1
40.6888650971,-73.9188106751,1
40.6884071909,-73.9156489228,1
40.688780281,-73.9153780123,1
40.6919971861,-73.9117679086,1
40.6863516513,-73.9160517574,1
40.6869335188,-73.9160185731,1
40.6930494637,-73.9095595964,1
40.6942260561,-73.9084040351,1
40.6856738442,-73.9125695249,1
40.6877309143,-73.9106052778,1
40.6906106501,-73.9077238719,1
40.6838743192,-73.9103616627,1
40.6837646126,-73.9104699774,1
40.6630340102,-73.9150069751,1
40.6535880076,-73.9098149127,1
40.6741012446,-73.8866787782,1
40.6734613983,-73.8836155983,1
40.686911315,-73.871217197,1
40.680645628,-73.8669496761,1
40.6600726397,-73.8953312946,1
40.6632962736,-73.8672906616,1
40.6608520503,-73.9537419558,1
40.6456422543,-73.9668728961,1
40.6359945101,-73.9674974002,1
40.6376229363,-73.9611263596,1
40.6417686216,-73.9977046949,1
40.6374946305,-73.9906248017,1
40.6399817458,-73.9968471928,1
40.6347555393,-73.9936408356,1
40.6387026983,-74.0021690898,1
40.6340255338,-73.9960512363,1
40.6344180815,-73.997614875,1
40.632930344,-73.9955216854,1
40.6326613802,-74.0037685424,1
40.6374200693,-74.0138502007,1
40.6237188379,-74.0042903753,1
40.6110073967,-74.0094291048,1
40.6108454754,-74.0091625609,1
40.6086416404,-74.0054671023,1
40.6285734675,-73.9707181294,1
40.6211124477,-73.9681638478,1
40.6136860588,-73.9720897378,1
40.6123653617,-73.9702894311,1
40.6135374424,-73.9704978127,1
40.6130223956,-73.9642598036,1
40.6107460971,-73.9709312419,1
40.6108190948,-73.966825347,1
40.6075561516,-73.9819026728,1
40.6071119587,-73.970813977,1
40.6082451226,-73.9691423877,1
40.6047926073,-73.9708185922,1
40.6055227577,-73.9709551243,1
40.6055715535,-73.9686322315,1
40.6054397964,-73.968607084,1
40.6063619369,-73.9682032942,1
40.6028833255,-73.9755153996,1
40.6027362905,-73.9690441002,1
40.6029419032,-73.9681401013,1
40.6044112811,-73.9621000388,1
40.6241224703,-73.9646933468,1
40.6108643215,-73.9621792129,1
40.6109219657,-73.9621899851,1
40.6109768651,-73.962200759,1
40.6110317646,-73.9622115328,1
40.6098594084,-73.953798899,1
40.6091898299,-73.9541775248,1
40.6075398416,-73.9605928534,1
40.6028906613,-73.9867655662,1
40.6008870884,-73.9879363203,1
40.596246134,-73.9944402905,1
40.5956749396,-73.9631744403,1
40.5903901129,-73.9814392557,1
40.5904450106,-73.981450042,1
40.602563635,-73.9535374596,1
40.5954804445,-73.9564302357,1
40.5907688859,-73.959897042,1
40.585758978,-73.9580855078,1
40.6224279582,-73.9477203891,1
40.6205887954,-73.9473868286,1
40.6207488847,-73.9434819494,1
40.6221836784,-73.9420110172,1
40.6420520113,-73.9067929041,1
40.605759546,-73.902493125,1
40.6088366947,-73.9027659484,1
40.6091178312,-73.9041557351,1
40.6100173053,-73.903178412,1
40.6146310391,-73.9095902024,1
40.612739008,-73.9084942342,1
40.6131498471,-73.9108672321,1
40.5866655426,-73.9186144941,1
40.5900610719,-73.9271039731,1
40.5894526601,-73.9243034614,1
40.5946816378,-73.9288056915,1
40.746971882,-73.9152716159,1
40.76979935,-73.9222319855,1
40.7660972583,-73.9190666997,1
40.7771563891,-73.9160311592,1
40.7430853861,-73.8983946561,1
40.7414174035,-73.8932403725,1
40.7382857019,-73.8717782599,1
40.7431925367,-73.8616136694,1
40.7416762593,-73.8583906298,1
40.7416240426,-73.8583366101,1
40.741574575,-73.8582861934,1
40.7267739554,-73.8428000629,1
40.7378801199,-73.8970277534,1
40.7308893313,-73.8911717426,1
40.7309579467,-73.8911680224,1
40.729828854,-73.8818033183,1
40.7086974819,-73.8602461187,1
40.7936654225,-73.8422267858,1
40.7910141891,-73.8443782333,1
40.7888449982,-73.8542240142,1
40.7874876681,-73.8467734771,1
40.7821122534,-73.843821294,1
40.7954425857,-73.8278085629,1
40.7912517617,-73.8191014765,1
40.7924295178,-73.814092783,1
40.7787647605,-73.8200994634,1
40.7780082976,-73.8190399659,1
40.7691492794,-73.8232302132,1
40.7713833354,-73.8060644047,1
40.7672791996,-73.8226395099,1
40.7618926626,-73.8200042524,1
40.7479020295,-73.8285846803,1
40.748881704,-73.8284486226,1
40.7458445095,-73.8202677563,1
40.7452428413,-73.8199048797,1
40.7618480987,-73.7965261717,1
40.7597716213,-73.8084914428,1
40.758418971,-73.8138267456,1
40.7565005776,-73.812251138,1
40.7560252759,-73.8086357649,1
40.7569418478,-73.7837164442,1
40.7413095261,-73.7876393244,1
40.7794333887,-73.7714714976,1
40.7473381599,-73.8296291383,1
40.7411997336,-73.8288509235,1
40.7406906867,-73.8298482216,1
40.7446464815,-73.8229632101,1
40.7430447241,-73.8237325297,1
40.7433908712,-73.8221473471,1
40.7434891967,-73.8218331178,1
40.7420993362,-73.8229555434,1
40.7435798855,-73.8183900623,1
40.7426109474,-73.820114085,1
40.7418603666,-73.819307757,1
40.7426463394,-73.8147369246,1
40.7411493413,-73.8157587371,1
40.738548137,-73.8287422612,1
40.7241172519,-73.8257921165,1
40.7279061913,-73.8092108049,1
40.7276965964,-73.8086124837,1
40.7272294307,-73.8082782874,1
40.7336038101,-73.8024001006,1
40.726293471,-73.7864460625,1
40.7234123629,-73.7884178996,1
40.7240175512,-73.7876547404,1
40.7216295064,-73.7890945794,1
40.7229260314,-73.7881416505,1
40.7238218081,-73.7871863563,1
40.7232481973,-73.7813508954,1
40.756668337,-73.7515383467,1
40.7431652451,-73.7651541919,1
40.7488792875,-73.7467600586,1
40.7448971645,-73.7482512342,1
40.7703568169,-73.7504511277,1
40.7637357528,-73.7401912779,1
40.7646540068,-73.7396425906,1
40.7674537987,-73.7360865066,1
40.7667850425,-73.7317498344,1
40.7644064241,-73.7298641874,1
40.7633076952,-73.728345267,1
40.7711003082,-73.7319707334,1
40.7625283482,-73.7260958961,1
40.7549024315,-73.7199803727,1
40.7293132175,-73.716707152,1
40.7450655677,-73.702605113,1
40.7369635963,-73.7049651319,1
40.6819556144,-73.8435294628,1
40.7050605167,-73.8295784923,1
40.7068944651,-73.8243943929,1
40.7067955492,-73.8243261237,1
40.6881534311,-73.8376662834,1
40.6935598234,-73.8036763402,1
40.6990425326,-73.7830495602,1
40.7227749788,-73.769519204,1
40.7287979933,-73.7440040715,1
40.7078750499,-73.7466885999,1
40.7052262903,-73.7417249566,1
40.6754126013,-73.8522403821,1
40.6682539377,-73.8228848052,1
40.6841629756,-73.8044215208,1
40.6816469566,-73.8001780523,1
40.6683085239,-73.7992951969,1
40.6891719269,-73.7917538101,1
40.6725469497,-73.782930263,1
40.6911073497,-73.7608697347,1
40.6911531939,-73.7552586541,1
40.6807008529,-73.7365199687,1
40.6748066159,-73.7507726046,1
40.6650033938,-73.7305875639,1
40.602078508,-73.7387676723,1
40.637413059,-74.086516919,1
40.6263464848,-74.1143208812,1
40.6324845152,-74.0772693348,1
40.6032250641,-74.1267055271,1
40.590785473,-74.1050857841,1
40.5900564292,-74.1098085152,1
40.6310336711,-74.1589739345,1
40.5907206692,-74.1914666083,1
40.6118063026,-74.0668329183,1
40.6137684593,-74.0762499735,1
40.6090699856,-74.0614782894,1
40.6074764579,-74.0643039639,1
40.599643391,-74.0680558978,1
40.5987212267,-74.0679073176,1
40.5973829583,-74.0901235767,1
40.5994954497,-74.0878757874,1
40.5939052026,-74.0749706392,1
40.5921025684,-74.0857452896,1
40.5752225154,-74.0955652453,1
40.5677206863,-74.113925407,1
40.5632202584,-74.1235236536,1
40.546316012,-74.1481614032,1
40.5428604843,-74.1542667045,1
40.5385296367,-74.1518534146,1
40.5346549672,-74.1572193287,1
40.5460185626,-74.1778742479,1
40.5508244796,-74.186681551,1
40.5389866318,-74.1741030574,1
40.5233517285,-74.2012191543,1
40.510944482,-74.2347925061,1
40.5127325416,-74.2408478687,1
40.5105640027,-74.2435084723,1
